pair,term_src,target,definition,case_sensitive,inflect,notes,status
en-ja,support,サポート,Customer support channel,false,false,,approved
en-ja,VAT,付加価値税（VAT）,Value Added Tax,true,false,"Keep acronym in parentheses.",approved
en-ja,shipping fee,送料,Logistics charge,false,false,,approved
en-ja,express shipping,迅速配送,Expedited delivery option,false,false,,approved
en-ja,restocking fee,再入荷手数料,Returns policy fee,false,false,,approved
en-ja,partial refund,一部返金,Type of refund,false,false,,approved
en-ja,original payment method,元の支払い方法,Refund destination,false,false,,approved
en-ja,track order,注文を追跡,Order tracking action,false,false,,approved
en-ja,apply,適用,CTA,false,false,,approved
en-ja,tax included,税込,Price qualifier,false,false,,approved
en-ja,subscription renews,サブスクリプションが更新されます,Recurring billing phrase,false,false,,approved
en-ja,verification code,認証コード,Security/2FA code,false,false,,approved
en-ja,{ORDER_ID},{ORDER_ID},Placeholder token,true,false,"DO NOT TRANSLATE.",approved
en-ja,{ACCOUNT_ID},{ACCOUNT_ID},Placeholder token,true,false,"DO NOT TRANSLATE.",approved
en-ja,{COUPON},{COUPON},Placeholder token,true,false,"DO NOT TRANSLATE.",approved
en-ja,{2FA_CODE},{2FA_CODE},Placeholder token,true,false,"DO NOT TRANSLATE.",approved
en-ja,{{SKU_123}},{{SKU_123}},Double-curly token,true,false,"DO NOT TRANSLATE.",approved
